,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1158,0.0652,0.000,0.002,0.003,1000
2,0.2,0.04,0.0638,0.1158,0.0666,0.000,0.002,0.003,1000
3,0.4,0.07,0.1250,0.1159,0.0680,0.000,0.002,0.003,1000
4,0.6,0.11,0.1835,0.1159,0.0695,0.000,0.002,0.003,1000
5,0.8,0.15,0.2393,0.1159,0.0710,0.000,0.002,0.003,1000
6,1.0,0.18,0.2925,0.1158,0.0726,0.000,0.002,0.003,1000
7,1.1,0.22,0.3431,0.1156,0.0741,0.000,0.002,0.003,1000
8,1.3,0.26,0.3911,0.1153,0.0757,0.000,0.002,0.003,1000
9,1.5,0.29,0.4365,0.1147,0.0771,0.000,0.002,0.003,1000
10,1.7,0.33,0.4793,0.1138,0.0784,0.000,0.002,0.003,1000
11,1.9,0.37,0.5194,0.1125,0.0794,0.000,0.002,0.003,1000
12,2.1,0.40,0.5567,0.1106,0.0801,0.000,0.002,0.003,1000
13,2.3,0.44,0.5911,0.1080,0.0804,0.000,0.002,0.003,1000
14,2.5,0.48,0.6224,0.1046,0.0801,0.000,0.002,0.003,1000
15,2.7,0.51,0.6504,0.1005,0.0793,0.000,0.002,0.003,1000
16,2.9,0.55,0.6753,0.0957,0.0780,0.000,0.002,0.003,1000
17,3.1,0.59,0.6974,0.0903,0.0760,0.000,0.002,0.003,1000
18,3.2,0.62,0.7163,0.0842,0.0733,0.000,0.002,0.002,1000
19,3.4,0.66,0.7319,0.0778,0.0702,0.000,0.002,0.002,1000
20,3.6,0.70,0.7442,0.0714,0.0668,0.000,0.002,0.002,1000
21,3.8,0.73,0.7529,0.0647,0.0631,0.000,0.002,0.002,1000
22,4.0,0.77,0.7569,0.0580,0.0590,0.000,0.002,0.002,1000
23,4.2,0.81,0.7555,0.0510,0.0545,0.000,0.001,0.001,1000
24,4.4,0.84,0.7512,0.0440,0.0494,0.000,0.001,0.001,1000
25,4.6,0.88,0.7420,0.0369,0.0438,0.000,0.001,0.001,1000
26,4.8,0.92,0.7271,0.0298,0.0375,0.000,0.001,0.001,1000
27,5.0,0.95,0.6969,0.0226,0.0309,0.000,0.001,0.001,1000
28,5.2,0.99,0.6352,0.0152,0.0237,0.000,0.001,0.000,1000
29,5.3,1.03,0.4890,0.0077,0.0162,0.000,0.000,0.000,1000
30,5.5,1.06,-0.0007,0.0000,0.0090,0.000,0.000,0.000,1000
31,0.0,0.00,0.0000,0.1158,0.0652,0.000,0.007,0.013,2000
32,0.4,0.04,0.0636,0.1158,0.0666,0.000,0.007,0.014,2000
33,0.8,0.07,0.1247,0.1159,0.0680,0.000,0.007,0.014,2000
34,1.1,0.11,0.1830,0.1159,0.0695,0.000,0.007,0.014,2000
35,1.5,0.15,0.2388,0.1159,0.0710,0.000,0.007,0.014,2000
36,1.9,0.18,0.2919,0.1158,0.0726,0.000,0.007,0.014,2000
37,2.3,0.22,0.3424,0.1156,0.0741,0.000,0.008,0.013,2000
38,2.7,0.26,0.3903,0.1153,0.0756,0.000,0.008,0.013,2000
39,3.0,0.29,0.4357,0.1147,0.0771,0.000,0.008,0.013,2000
40,3.4,0.33,0.4784,0.1139,0.0784,0.000,0.008,0.013,2000
41,3.8,0.37,0.5185,0.1125,0.0794,0.000,0.008,0.013,2000
42,4.2,0.40,0.5558,0.1106,0.0801,0.000,0.008,0.013,2000
43,4.6,0.44,0.5902,0.1081,0.0804,0.000,0.008,0.013,2000
44,5.0,0.48,0.6215,0.1048,0.0802,0.000,0.008,0.012,2000
45,5.3,0.51,0.6496,0.1007,0.0794,0.000,0.008,0.012,2000
46,5.7,0.55,0.6745,0.0959,0.0780,0.000,0.008,0.011,2000
47,6.1,0.59,0.6967,0.0906,0.0761,0.000,0.008,0.011,2000
48,6.5,0.62,0.7156,0.0845,0.0734,0.000,0.007,0.010,2000
49,6.9,0.66,0.7314,0.0782,0.0704,0.000,0.007,0.009,2000
50,7.2,0.70,0.7438,0.0717,0.0670,0.000,0.007,0.008,2000
51,7.6,0.73,0.7527,0.0651,0.0633,0.000,0.006,0.008,2000
52,8.0,0.77,0.7569,0.0583,0.0592,0.000,0.006,0.007,2000
53,8.4,0.80,0.7557,0.0514,0.0548,0.000,0.006,0.006,2000
54,8.8,0.84,0.7516,0.0444,0.0497,0.000,0.005,0.005,2000
55,9.1,0.88,0.7427,0.0373,0.0441,0.000,0.005,0.004,2000
56,9.5,0.91,0.7282,0.0302,0.0379,0.000,0.004,0.004,2000
57,9.9,0.95,0.6986,0.0229,0.0311,0.000,0.003,0.003,2000
58,10.3,0.99,0.6377,0.0154,0.0239,0.000,0.002,0.002,2000
59,10.7,1.02,0.4921,0.0078,0.0162,0.000,0.002,0.001,2000
60,11.1,1.06,-0.0023,0.0000,0.0090,0.000,0.001,0.000,2000
61,0.0,0.00,0.0000,0.1158,0.0649,0.001,0.015,0.030,3000
62,0.6,0.04,0.0639,0.1159,0.0663,0.001,0.015,0.030,3000
63,1.1,0.07,0.1251,0.1159,0.0678,0.001,0.016,0.030,3000
64,1.7,0.11,0.1836,0.1159,0.0693,0.001,0.016,0.030,3000
65,2.3,0.15,0.2395,0.1159,0.0708,0.001,0.016,0.030,3000
66,2.9,0.18,0.2927,0.1158,0.0723,0.001,0.017,0.030,3000
67,3.4,0.22,0.3433,0.1156,0.0739,0.001,0.017,0.030,3000
68,4.0,0.26,0.3914,0.1152,0.0754,0.001,0.017,0.030,3000
69,4.6,0.29,0.4370,0.1147,0.0768,0.001,0.018,0.030,3000
70,5.1,0.33,0.4801,0.1138,0.0780,0.001,0.018,0.030,3000
71,5.7,0.37,0.5207,0.1125,0.0790,0.001,0.018,0.030,3000
72,6.3,0.40,0.5589,0.1106,0.0796,0.001,0.018,0.029,3000
73,6.9,0.44,0.5945,0.1080,0.0797,0.001,0.018,0.028,3000
74,7.4,0.48,0.6274,0.1047,0.0794,0.001,0.018,0.027,3000
75,8.0,0.51,0.6570,0.1006,0.0784,0.001,0.018,0.026,3000
76,8.6,0.55,0.6833,0.0959,0.0770,0.001,0.018,0.025,3000
77,9.1,0.59,0.7059,0.0906,0.0751,0.001,0.017,0.024,3000
78,9.7,0.62,0.7240,0.0845,0.0726,0.001,0.017,0.022,3000
79,10.3,0.66,0.7388,0.0782,0.0697,0.001,0.016,0.021,3000
80,10.9,0.69,0.7498,0.0718,0.0665,0.001,0.015,0.019,3000
81,11.4,0.73,0.7554,0.0652,0.0631,0.001,0.014,0.017,3000
82,12.0,0.77,0.7570,0.0584,0.0593,0.001,0.014,0.015,3000
83,12.6,0.80,0.7559,0.0515,0.0549,0.001,0.013,0.014,3000
84,13.1,0.84,0.7518,0.0446,0.0499,0.001,0.011,0.012,3000
85,13.7,0.88,0.7429,0.0374,0.0442,0.000,0.010,0.010,3000
86,14.3,0.91,0.7293,0.0302,0.0379,0.000,0.009,0.008,3000
87,14.9,0.95,0.7000,0.0229,0.0311,0.000,0.007,0.006,3000
88,15.4,0.99,0.6362,0.0154,0.0239,0.000,0.005,0.004,3000
89,16.0,1.02,0.4853,0.0078,0.0164,0.000,0.004,0.002,3000
90,16.6,1.06,0.0093,0.0001,0.0094,0.000,0.002,0.000,3000
91,0.0,0.00,0.0000,0.1158,0.0649,0.002,0.027,0.054,4000
92,0.8,0.04,0.0639,0.1159,0.0663,0.002,0.027,0.054,4000
93,1.5,0.07,0.1251,0.1159,0.0678,0.002,0.028,0.054,4000
94,2.3,0.11,0.1836,0.1159,0.0693,0.002,0.028,0.054,4000
95,3.0,0.15,0.2394,0.1159,0.0708,0.002,0.029,0.054,4000
96,3.8,0.18,0.2925,0.1158,0.0724,0.002,0.030,0.054,4000
97,4.6,0.22,0.3431,0.1156,0.0739,0.002,0.030,0.054,4000
98,5.3,0.26,0.3912,0.1153,0.0754,0.002,0.031,0.054,4000
99,6.1,0.29,0.4368,0.1147,0.0768,0.002,0.031,0.053,4000
100,6.9,0.33,0.4799,0.1138,0.0781,0.002,0.032,0.053,4000
101,7.6,0.37,0.5206,0.1125,0.0790,0.002,0.032,0.052,4000
102,8.4,0.40,0.5587,0.1106,0.0796,0.002,0.033,0.052,4000
103,9.1,0.44,0.5944,0.1081,0.0798,0.002,0.033,0.050,4000
104,9.9,0.48,0.6272,0.1048,0.0794,0.002,0.032,0.049,4000
105,10.7,0.51,0.6569,0.1007,0.0785,0.002,0.032,0.047,4000
106,11.4,0.55,0.6832,0.0960,0.0771,0.002,0.031,0.045,4000
107,12.2,0.59,0.7058,0.0907,0.0752,0.002,0.031,0.042,4000
108,13.0,0.62,0.7240,0.0846,0.0726,0.002,0.030,0.039,4000
109,13.7,0.66,0.7388,0.0783,0.0698,0.002,0.028,0.037,4000
110,14.5,0.69,0.7498,0.0719,0.0666,0.002,0.027,0.034,4000
111,15.2,0.73,0.7554,0.0652,0.0632,0.002,0.026,0.030,4000
112,16.0,0.77,0.7570,0.0585,0.0593,0.002,0.024,0.027,4000
113,16.8,0.80,0.7559,0.0516,0.0549,0.001,0.022,0.024,4000
114,17.5,0.84,0.7519,0.0446,0.0499,0.001,0.020,0.021,4000
115,18.3,0.88,0.7430,0.0375,0.0443,0.001,0.018,0.017,4000
116,19.0,0.91,0.7295,0.0303,0.0379,0.001,0.015,0.014,4000
117,19.8,0.95,0.7001,0.0229,0.0311,0.001,0.013,0.011,4000
118,20.6,0.99,0.6366,0.0154,0.0240,0.001,0.010,0.007,4000
119,21.3,1.02,0.4864,0.0078,0.0165,0.000,0.007,0.004,4000
120,22.1,1.06,-0.0019,0.0000,0.0093,0.000,0.004,0.000,4000
121,0.0,0.00,0.0000,0.1158,0.0650,0.003,0.041,0.084,5000
122,1.0,0.04,0.0638,0.1159,0.0664,0.003,0.042,0.084,5000
123,1.9,0.07,0.1250,0.1159,0.0678,0.003,0.043,0.084,5000
124,2.9,0.11,0.1835,0.1159,0.0693,0.004,0.044,0.084,5000
125,3.8,0.15,0.2392,0.1159,0.0709,0.004,0.045,0.084,5000
126,4.8,0.18,0.2924,0.1158,0.0724,0.004,0.046,0.084,5000
127,5.7,0.22,0.3430,0.1156,0.0740,0.004,0.047,0.084,5000
128,6.7,0.26,0.3911,0.1153,0.0755,0.004,0.048,0.084,5000
129,7.6,0.29,0.4367,0.1147,0.0769,0.004,0.049,0.084,5000
130,8.6,0.33,0.4798,0.1139,0.0781,0.004,0.050,0.083,5000
131,9.5,0.37,0.5204,0.1126,0.0791,0.004,0.050,0.082,5000
132,10.5,0.40,0.5586,0.1107,0.0797,0.004,0.051,0.081,5000
133,11.4,0.44,0.5943,0.1081,0.0799,0.004,0.051,0.079,5000
134,12.4,0.48,0.6271,0.1048,0.0795,0.004,0.051,0.076,5000
135,13.3,0.51,0.6568,0.1008,0.0785,0.004,0.050,0.073,5000
136,14.3,0.55,0.6832,0.0961,0.0772,0.004,0.049,0.070,5000
137,15.2,0.59,0.7058,0.0908,0.0753,0.004,0.048,0.066,5000
138,16.2,0.62,0.7239,0.0846,0.0727,0.004,0.046,0.062,5000
