,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,RPM
0,(mph),(Adv Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),RPM
1,0.0,0.00,0.0000,0.1148,0.0649,0.000,0.003,0.005,1000
2,0.2,0.04,0.0637,0.1148,0.0662,0.000,0.003,0.005,1000
3,0.4,0.07,0.1247,0.1147,0.0676,0.000,0.003,0.005,1000
4,0.6,0.11,0.1831,0.1147,0.0690,0.000,0.003,0.005,1000
5,0.8,0.15,0.2388,0.1146,0.0705,0.000,0.003,0.005,1000
6,1.0,0.18,0.2918,0.1144,0.0720,0.000,0.003,0.005,1000
7,1.3,0.22,0.3423,0.1142,0.0735,0.000,0.003,0.005,1000
8,1.5,0.26,0.3902,0.1139,0.0750,0.000,0.003,0.005,1000
9,1.7,0.29,0.4356,0.1134,0.0765,0.000,0.003,0.005,1000
10,1.9,0.33,0.4785,0.1127,0.0778,0.000,0.003,0.005,1000
11,2.1,0.37,0.5190,0.1115,0.0789,0.000,0.003,0.005,1000
12,2.3,0.40,0.5571,0.1100,0.0798,0.000,0.003,0.005,1000
13,2.5,0.44,0.5927,0.1080,0.0803,0.000,0.003,0.004,1000
14,2.7,0.48,0.6257,0.1054,0.0804,0.000,0.003,0.004,1000
15,2.9,0.51,0.6559,0.1021,0.0800,0.000,0.003,0.004,1000
16,3.1,0.55,0.6834,0.0980,0.0790,0.000,0.003,0.004,1000
17,3.3,0.59,0.7075,0.0930,0.0772,0.000,0.003,0.004,1000
18,3.5,0.62,0.7278,0.0868,0.0745,0.000,0.003,0.004,1000
19,3.8,0.66,0.7439,0.0803,0.0714,0.000,0.003,0.003,1000
20,4.0,0.70,0.7558,0.0737,0.0680,0.000,0.003,0.003,1000
21,4.2,0.73,0.7627,0.0668,0.0643,0.000,0.003,0.003,1000
22,4.4,0.77,0.7649,0.0598,0.0603,0.000,0.002,0.002,1000
23,4.6,0.81,0.7635,0.0526,0.0557,0.000,0.002,0.002,1000
